Trip Duration (secs),starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
369,59:31.1,05:40.3,3267,Morris Canal,40.71241882,-74.03852552,3205,JC Medical Center,40.71653978,-74.04963791,42160,Subscriber,1991,male
821,00:03.6,13:44.8,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3185,City Hall,40.717732500000004,-74.04384499999999,42186,Subscriber,1991,male
343,01:48.3,07:32.0,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,41369,Subscriber,1981,male
811,01:56.3,15:28.0,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,43543,Subscriber,1991,male
1493,03:51.1,28:44.3,3184,Paulus Hook,40.7141454,-74.0335519,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,42526,Customer,1990,male
1473,04:16.6,28:50.1,3184,Paulus Hook,40.7141454,-74.0335519,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,42293,Customer,1990,female
62,05:05.9,06:08.1,3186,Grove St PATH,40.71958612,-74.04311746,3185,City Hall,40.717732500000004,-74.04384499999999,44671,Subscriber,1967,male
594,06:05.0,15:59.0,3639,Harborside,40.71925170000001,-74.034234,3279,Dixon Mills,40.72163014,-74.04996783,41400,Subscriber,1969,male
120,06:15.5,08:15.6,3185,City Hall,40.717732500000004,-74.04384499999999,3276,Marin Light Rail,40.71458404,-74.04281706,44671,Subscriber,1967,male
1100,06:17.7,24:38.0,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3273,Manila & 1st,40.72165072,-74.04288411,44403,Customer,1994,female
789,07:13.4,20:23.0,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,47258,Customer,1992,female
768,07:16.4,20:05.1,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,42364,Customer,1992,male
846,10:30.1,24:36.5,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3273,Manila & 1st,40.72165072,-74.04288411,32586,Customer,1994,male
1195,11:00.0,30:55.7,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3187,Warren St,40.721123600000006,-74.03805095,42779,Customer,1985,female
1635,13:19.7,40:35.5,3276,Marin Light Rail,40.71458404,-74.04281706,3212,Christ Hospital,40.73478582,-74.05044364,44415,Customer,1994,male
836,13:50.9,27:47.8,3678,Fairmount Ave,40.72572614,-74.07195926,3187,Warren St,40.721123600000006,-74.03805095,42495,Customer,1990,male
1488,15:53.1,40:42.0,3276,Marin Light Rail,40.71458404,-74.04281706,3212,Christ Hospital,40.73478582,-74.05044364,44671,Customer,1993,female
407,16:04.4,22:51.4,3206,Hilltop,40.7311689,-74.0575736,3203,Hamilton Park,40.72759597,-74.04424731,43558,Subscriber,1973,male
610,18:52.3,29:02.7,3202,Newport PATH,40.7272235,-74.03375890000001,3279,Dixon Mills,40.72163014,-74.04996783,45255,Subscriber,1970,male
2455,19:55.5,00:50.5,3681,Grand St,40.71517768,-74.03768331,3267,Morris Canal,40.71241882,-74.03852552,44744,Subscriber,1964,male
2448,19:57.9,00:46.0,3681,Grand St,40.71517768,-74.03768331,3267,Morris Canal,40.71241882,-74.03852552,44380,Subscriber,1968,female
681,20:45.3,32:07.0,3272,Jersey & 3rd,40.72333159,-74.04595256,3276,Marin Light Rail,40.71458404,-74.04281706,42614,Subscriber,1982,female
1091,24:24.8,42:36.3,3195,Sip Ave,40.7308971,-74.06391263,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,44322,Subscriber,1998,male
299,39:41.8,44:40.9,3267,Morris Canal,40.71241882,-74.03852552,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42105,Subscriber,1977,male
983,41:42.9,58:06.3,3209,Brunswick St,40.7241765,-74.05065640000001,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,45656,Subscriber,1986,male
2237,42:21.7,19:39.0,3187,Warren St,40.721123600000006,-74.03805095,3638,Washington St,40.7242941,-74.0354826,42779,Customer,1988,male
746,42:37.1,55:03.2,3275,Columbus Drive,40.718355200000005,-74.03891444,3184,Paulus Hook,40.7141454,-74.0335519,48916,Customer,1985,female
978,44:36.8,00:55.4,3638,Washington St,40.7242941,-74.0354826,3483,Montgomery St,40.71942,-74.05099,42591,Customer,1995,female
2206,45:39.0,22:25.8,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42422,Subscriber,1961,male
124,45:50.7,47:55.0,3196,Riverview Park,40.7443187,-74.04399090000001,3196,Riverview Park,40.7443187,-74.04399090000001,44710,Customer,2001,male
246,48:02.0,52:08.9,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,42267,Subscriber,1994,female
2741,48:21.7,34:03.4,3196,Riverview Park,40.7443187,-74.04399090000001,3210,Pershing Field,40.74267714,-74.05178863,41583,Customer,2001,male
386,51:56.7,58:23.0,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,44358,Subscriber,1975,male
3622,57:07.2,57:30.2,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42810,Customer,1995,female
3481,57:57.0,55:58.7,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42376,Customer,1990,male
4553,58:59.4,14:53.1,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3273,Manila & 1st,40.72165072,-74.04288411,42105,Subscriber,1986,male
386,59:02.2,05:28.3,3270,Jersey & 6th St,40.72528911,-74.04557168,3205,JC Medical Center,40.71653978,-74.04963791,42267,Subscriber,1986,male
354,59:36.6,05:31.0,3278,Monmouth and 6th,40.72568548,-74.04879034,3203,Hamilton Park,40.72759597,-74.04424731,39661,Subscriber,1977,male
314,01:26.5,06:41.4,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3267,Morris Canal,40.71241882,-74.03852552,42493,Subscriber,1978,male
512,02:16.9,10:49.9,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3192,Liberty Light Rail,40.711242299999995,-74.0557013,43543,Subscriber,1990,male
336,07:41.1,13:17.4,3202,Newport PATH,40.7272235,-74.03375890000001,3278,Monmouth and 6th,40.72568548,-74.04879034,42379,Subscriber,1991,male
